data_dir,C,SB,DB_V,DB_H,N
2025-06-19--18h-42m-38s,69.0,13.0,38.0,40.0,160.0
2025-06-19--18h-42m-38s,58.0,16.0,41.0,45.0,160.0
2025-06-19--18h-42m-38s,63.0,16.0,42.0,39.0,160.0
2025-06-19--18h-42m-38s,74.0,10.0,27.0,49.0,160.0
2025-06-19--18h-42m-38s,55.0,16.0,39.0,50.0,160.0
2025-06-19--18h-42m-38s,57.0,13.0,45.0,45.0,160.0
2025-06-19--18h-42m-38s,65.0,11.0,39.0,45.0,160.0
2025-06-19--18h-42m-38s,73.0,17.0,26.0,44.0,160.0
2025-06-19--18h-42m-38s,68.0,21.0,32.0,39.0,160.0
2025-06-19--18h-42m-38s,56.0,12.0,43.0,49.0,160.0
2025-06-19--18h-42m-38s,66.0,12.0,34.0,48.0,160.0
2025-06-19--18h-42m-38s,60.0,18.0,41.0,41.0,160.0
2025-06-19--18h-42m-38s,57.0,23.0,37.0,43.0,160.0
2025-06-19--18h-42m-38s,57.0,19.0,39.0,45.0,160.0
2025-06-19--18h-42m-38s,65.0,10.0,37.0,48.0,160.0
2025-06-19--18h-42m-38s,63.0,14.0,40.0,43.0,160.0
2025-06-19--18h-42m-38s,61.0,13.0,41.0,45.0,160.0
2025-06-19--18h-42m-38s,65.0,20.0,37.0,38.0,160.0
2025-06-19--18h-42m-38s,62.0,23.0,41.0,34.0,160.0
2025-06-19--18h-42m-38s,64.0,20.0,23.0,53.0,160.0
2025-06-19--18h-42m-38s,66.0,16.0,36.0,42.0,160.0
2025-06-19--18h-42m-38s,61.0,15.0,32.0,52.0,160.0
2025-06-19--18h-42m-38s,63.0,23.0,35.0,39.0,160.0
2025-06-19--18h-42m-38s,71.0,11.0,44.0,34.0,160.0
2025-06-19--18h-42m-38s,74.0,16.0,32.0,38.0,160.0
2025-06-19--18h-42m-38s,62.0,19.0,39.0,40.0,160.0
2025-06-19--18h-42m-38s,64.0,13.0,48.0,35.0,160.0
2025-06-19--18h-42m-38s,64.0,19.0,37.0,40.0,160.0
2025-06-19--18h-42m-38s,70.0,14.0,34.0,42.0,160.0
2025-06-19--18h-42m-38s,63.0,13.0,43.0,41.0,160.0
2025-06-19--18h-42m-38s,50.0,16.0,38.0,56.0,160.0
2025-06-19--18h-42m-38s,66.0,19.0,39.0,36.0,160.0
2025-06-19--18h-42m-38s,67.0,19.0,37.0,37.0,160.0
2025-06-19--18h-42m-38s,71.0,13.0,34.0,42.0,160.0
2025-06-19--18h-42m-38s,65.0,11.0,43.0,41.0,160.0
2025-06-19--18h-42m-38s,71.0,12.0,34.0,43.0,160.0
2025-06-19--18h-42m-38s,56.0,11.0,44.0,49.0,160.0
2025-06-19--18h-42m-38s,74.0,10.0,32.0,44.0,160.0
2025-06-19--18h-42m-38s,71.0,16.0,35.0,38.0,160.0
2025-06-19--18h-42m-38s,64.0,9.0,40.0,47.0,160.0
2025-06-19--18h-42m-38s,63.0,16.0,41.0,40.0,160.0
2025-06-19--18h-42m-38s,68.0,17.0,35.0,40.0,160.0
2025-06-19--18h-42m-38s,72.0,12.0,42.0,34.0,160.0
2025-06-19--18h-42m-38s,71.0,10.0,31.0,48.0,160.0
2025-06-19--18h-42m-38s,70.0,7.0,43.0,40.0,160.0
2025-06-19--18h-42m-38s,68.0,17.0,37.0,38.0,160.0
2025-06-19--18h-42m-38s,66.0,21.0,35.0,38.0,160.0
2025-06-19--18h-42m-38s,72.0,11.0,38.0,39.0,160.0
2025-06-19--18h-42m-38s,70.0,17.0,33.0,40.0,160.0
2025-06-19--18h-42m-38s,61.0,14.0,50.0,35.0,160.0
2025-06-19--18h-42m-38s,72.0,8.0,36.0,44.0,160.0
2025-06-19--18h-42m-38s,53.0,18.0,42.0,47.0,160.0
2025-06-19--18h-42m-38s,72.0,10.0,33.0,45.0,160.0
2025-06-19--18h-42m-38s,67.0,13.0,41.0,39.0,160.0
2025-06-19--18h-42m-38s,55.0,12.0,44.0,49.0,160.0
2025-06-19--18h-42m-38s,66.0,14.0,39.0,41.0,160.0
2025-06-19--18h-42m-38s,68.0,10.0,45.0,37.0,160.0
2025-06-19--18h-42m-38s,57.0,14.0,48.0,41.0,160.0
2025-06-19--18h-42m-38s,63.0,16.0,36.0,45.0,160.0
2025-06-19--18h-42m-38s,66.0,23.0,32.0,39.0,160.0
2025-06-19--18h-42m-38s,56.0,13.0,42.0,49.0,160.0
2025-06-19--18h-42m-38s,78.0,11.0,39.0,32.0,160.0
2025-06-19--18h-42m-38s,59.0,22.0,34.0,45.0,160.0
2025-06-19--18h-42m-38s,54.0,18.0,40.0,48.0,160.0
2025-06-19--18h-42m-38s,59.0,13.0,45.0,43.0,160.0
2025-06-19--18h-42m-38s,66.0,19.0,37.0,38.0,160.0
2025-06-19--18h-42m-38s,58.0,8.0,48.0,46.0,160.0
2025-06-19--18h-42m-38s,56.0,25.0,31.0,48.0,160.0
2025-06-19--18h-42m-38s,65.0,11.0,39.0,45.0,160.0
2025-06-19--18h-42m-38s,57.0,19.0,42.0,42.0,160.0
2025-06-19--18h-42m-38s,63.0,10.0,50.0,37.0,160.0
2025-06-19--18h-42m-38s,63.0,11.0,45.0,41.0,160.0
2025-06-19--18h-42m-38s,61.0,12.0,38.0,49.0,160.0
