data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-06-01--01h-03m-47s,5.5,16.0,5.0,13.5,40.0,,1.292206624403246,0.5680954005937647
2025-06-01--01h-03m-47s,5.0,14.0,12.0,8.5,39.5,,1.5201417558761694,0.65427058395952
2025-06-01--01h-03m-47s,4.5,9.0,8.0,18.0,39.5,,1.545477166002274,0.4636476090008061
2025-06-01--01h-03m-47s,4.0,10.0,15.0,11.5,40.5,,1.6945689003537312,0.5328618685245151
2025-06-01--01h-03m-47s,4.5,17.0,10.0,8.5,40.0,,1.3948905586311804,0.6290148024266758
2025-06-01--01h-03m-47s,5.5,14.0,10.0,10.0,39.5,,1.4693566241812164,0.6381162031723008
2025-06-01--01h-03m-47s,5.0,14.0,13.0,7.5,39.5,,1.545477166002274,0.684719203002283
2025-06-01--01h-03m-47s,7.0,9.0,9.0,16.0,41.0,,1.5707963267948966,0.5843738968484469
2025-06-01--01h-03m-47s,7.0,7.0,13.0,13.5,40.5,,1.719491821062459,0.624077252536407
2025-06-01--01h-03m-47s,7.0,14.0,4.0,14.5,39.5,,1.3148463452348609,0.6072331196331615
2025-06-01--01h-03m-47s,6.5,13.0,10.0,11.5,41.0,,1.4975601451312728,0.6446581267820258
2025-06-01--01h-03m-47s,6.5,16.0,7.0,11.0,40.5,,1.3467032344935257,0.6553659270402518
2025-06-01--01h-03m-47s,6.5,7.0,8.0,17.5,39.0,,1.5964401629350142,0.54733863294155
2025-06-01--01h-03m-47s,2.0,9.0,19.0,10.5,40.5,,1.8202902466421822,0.411516846067488
2025-06-01--01h-03m-47s,8.5,12.0,7.0,12.5,40.0,,1.445468495626831,0.6895745659097401
2025-06-01--01h-03m-47s,4.5,12.0,9.0,13.5,39.0,,1.493797186138073,0.5235987755982988
2025-06-01--01h-03m-47s,8.0,10.0,10.0,12.5,40.5,,1.5707963267948966,0.6747409422235527
2025-06-01--01h-03m-47s,6.0,13.0,7.0,15.0,41.0,,1.4239274272662386,0.5639426413606289
2025-06-01--01h-03m-47s,10.0,9.0,7.0,15.0,41.0,,1.5219964724242343,0.684719203002283
2025-06-01--01h-03m-47s,7.0,10.0,11.0,12.5,40.5,,1.5954901944100486,0.6424323987868092
2025-06-01--01h-03m-47s,7.0,12.0,11.0,11.0,41.0,,1.5464036640172414,0.6733516172467628
2025-06-01--01h-03m-47s,5.5,13.0,11.0,9.5,39.0,,1.5194917715306968,0.6504317654807467
2025-06-01--01h-03m-47s,5.5,7.0,14.0,13.0,39.5,,1.748952456415725,0.576687027733489
2025-06-01--01h-03m-47s,7.5,11.0,11.0,10.0,39.5,,1.5707963267948966,0.7137243789447656
2025-06-01--01h-03m-47s,6.0,13.0,9.0,13.0,41.0,,1.4730799179457903,0.5967431472175737
2025-06-01--01h-03m-47s,8.5,10.0,10.0,11.0,39.5,,1.5707963267948966,0.7211186833767357
2025-06-01--01h-03m-47s,8.0,7.0,13.0,11.0,39.0,,1.7252559252790807,0.7061190230785984
2025-06-01--01h-03m-47s,7.0,6.0,12.0,14.5,39.5,,1.7232853429069952,0.6072331196331615
2025-06-01--01h-03m-47s,4.0,11.0,11.0,13.5,39.5,,1.5707963267948966,0.49848043713743306
2025-06-01--01h-03m-47s,6.0,13.0,8.0,12.0,39.0,,1.4422373667534711,0.6154797086703874
2025-06-01--01h-03m-47s,7.0,10.0,8.0,14.0,39.0,,1.5194917715306968,0.6154797086703874
2025-06-01--01h-03m-47s,5.0,14.0,8.0,12.0,39.0,,1.4163367283107124,0.573203309100855
2025-06-01--01h-03m-47s,6.5,11.0,10.0,13.0,40.5,,1.5461024591797445,0.6154797086703874
2025-06-01--01h-03m-47s,5.5,9.0,10.0,15.0,39.5,,1.5961154875875192,0.5444758101829856
