detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir
4,12,2554326309526132736,2554326309526132736,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309541691392,2554326309541691392,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309550146560,2554326309550146560,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309551203328,2554326309551203328,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309565659136,2554326309565659136,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309571606016,2554326309571606016,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309575874560,2554326309575874560,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309594226688,2554326309594226688,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309597418496,2554326309597418496,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309599969792,2554326309599969792,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309602009600,2554326309602009600,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309606808576,2554326309606808576,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309620546048,2554326309620546048,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309623586304,2554326309623586304,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309625563648,2554326309625563648,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309637683200,2554326309637683200,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309651550720,2554326309651550720,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309659277312,2554326309659277312,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309668608000,2554326309668608000,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309671116800,2554326309671116800,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309672633856,2554326309672633856,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309674379776,2554326309674379776,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309674404864,2554326309674404864,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309675561472,2554326309675561472,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309676369408,2554326309676369408,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309679363584,2554326309679363584,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309686952960,2554326309686952960,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309687233536,2554326309687233536,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309699055104,2554326309699055104,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309700177408,2554326309700177408,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309703346176,2554326309703346176,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309710443520,2554326309710443520,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309712983040,2554326309712983040,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309713953280,2554326309713953280,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309730576896,2554326309730576896,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309732208128,2554326309732208128,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309732389376,2554326309732389376,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309738973184,2554326309738973184,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309739545088,2554326309739545088,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309741751808,2554326309741751808,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309749259264,2554326309749259264,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309762089472,2554326309762089472,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309769767936,2554326309769767936,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309772198400,2554326309772198400,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309780395008,2554326309780395008,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309787061248,2554326309787061248,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309794918912,2554326309794918912,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309796036608,2554326309796036608,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309799950336,2554326309799950336,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309802831872,2554326309802831872,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309804582912,2554326309804582912,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309805506048,2554326309805506048,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309811125248,2554326309811125248,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309816913408,2554326309816913408,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309818557952,2554326309818557952,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309827087360,2554326309827087360,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309828068352,2554326309828068352,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309834109952,2554326309834109952,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309841541632,2554326309841541632,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309849408000,2554326309849408000,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309856148992,2554326309856148992,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309859130368,2554326309859130368,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309865596416,2554326309865596416,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309883548672,2554326309883548672,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309895702016,2554326309895702016,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309900442624,2554326309900442624,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309907985408,2554326309907985408,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309908751360,2554326309908751360,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309927455232,2554326309927455232,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309930061824,2554326309930061824,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309932199936,2554326309932199936,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309936128512,2554326309936128512,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309941330944,2554326309941330944,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309946562560,2554326309946562560,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
