data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-31--06h-03m-47s,153,1.0,0.0,1.0,0.0,2.0
2025-05-31--06h-03m-47s,154,0.5,1.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,155,0.5,0.0,0.0,0.0,0.5
2025-05-31--06h-03m-47s,156,1.5,0.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,157,1.5,0.0,1.0,0.0,2.5
2025-05-31--06h-03m-47s,158,1.0,2.0,0.0,0.0,3.0
2025-05-31--06h-03m-47s,159,0.5,0.0,0.0,0.0,0.5
2025-05-31--06h-03m-47s,160,2.5,1.0,1.0,0.0,4.5
2025-05-31--06h-03m-47s,161,1.0,1.0,2.0,0.0,4.0
2025-05-31--06h-03m-47s,162,1.5,0.0,1.0,0.0,2.5
2025-05-31--06h-03m-47s,163,0.5,0.0,1.0,0.0,1.5
2025-05-31--06h-03m-47s,164,2.5,0.0,0.0,0.0,2.5
2025-05-31--06h-03m-47s,165,1.5,0.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,166,1.0,0.0,0.0,0.0,1.0
2025-05-31--06h-03m-47s,167,0.5,1.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,168,2.5,1.0,0.0,0.0,3.5
2025-05-31--06h-03m-47s,169,1.0,0.0,3.0,0.0,4.0
2025-05-31--06h-03m-47s,170,0.5,2.0,1.0,0.0,3.5
2025-05-31--06h-03m-47s,171,0.5,0.0,0.0,0.0,0.5
2025-05-31--06h-03m-47s,172,1.0,1.0,0.0,0.0,2.0
2025-05-31--06h-03m-47s,173,1.5,1.0,1.0,0.0,3.5
2025-05-31--06h-03m-47s,175,1.0,1.0,0.0,0.0,2.0
2025-05-31--06h-03m-47s,176,2.5,1.0,1.0,0.0,4.5
2025-05-31--06h-03m-47s,177,1.5,0.0,1.0,0.5,3.0
2025-05-31--06h-03m-47s,178,1.5,0.0,2.0,0.0,3.5
2025-05-31--06h-03m-47s,179,1.0,1.0,1.0,0.0,3.0
2025-05-31--06h-03m-47s,180,1.0,0.0,0.0,0.0,1.0
