data_dir,C,SB,DB_V,DB_H,N
2025-06-03--11h-40m-23s,34.0,31.0,85.0,10.0,160.0
2025-06-03--11h-40m-23s,41.0,34.0,70.0,15.0,160.0
2025-06-03--11h-40m-23s,41.0,39.0,63.0,17.0,160.0
2025-06-03--11h-40m-23s,38.0,39.0,68.0,15.0,160.0
2025-06-03--11h-40m-23s,22.0,34.0,82.0,22.0,160.0
2025-06-03--11h-40m-23s,33.0,35.0,76.0,16.0,160.0
2025-06-03--11h-40m-23s,30.0,36.0,75.0,19.0,160.0
2025-06-03--11h-40m-23s,28.0,45.0,77.0,10.0,160.0
2025-06-03--11h-40m-23s,30.0,38.0,85.0,7.0,160.0
2025-06-03--11h-40m-23s,42.0,37.0,62.0,19.0,160.0
2025-06-03--11h-40m-23s,35.0,26.0,82.0,17.0,160.0
2025-06-03--11h-40m-23s,41.0,28.0,75.0,16.0,160.0
2025-06-03--11h-40m-23s,39.0,43.0,63.0,15.0,160.0
2025-06-03--11h-40m-23s,30.0,35.0,74.0,21.0,160.0
2025-06-03--11h-40m-23s,32.0,38.0,80.0,10.0,160.0
2025-06-03--11h-40m-23s,30.0,38.0,78.0,14.0,160.0
2025-06-03--11h-40m-23s,35.0,31.0,74.0,20.0,160.0
2025-06-03--11h-40m-23s,35.0,33.0,72.0,20.0,160.0
2025-06-03--11h-40m-23s,44.0,33.0,73.0,10.0,160.0
2025-06-03--11h-40m-23s,38.0,27.0,81.0,14.0,160.0
2025-06-03--11h-40m-23s,38.0,38.0,70.0,14.0,160.0
2025-06-03--11h-40m-23s,39.0,34.0,70.0,17.0,160.0
2025-06-03--11h-40m-23s,36.0,32.0,84.0,8.0,160.0
2025-06-03--11h-40m-23s,29.0,35.0,80.0,16.0,160.0
2025-06-03--11h-40m-23s,34.0,26.0,79.0,21.0,160.0
2025-06-03--11h-40m-23s,36.0,38.0,71.0,15.0,160.0
2025-06-03--11h-40m-23s,39.0,33.0,74.0,14.0,160.0
2025-06-03--11h-40m-23s,35.0,35.0,75.0,15.0,160.0
2025-06-03--11h-40m-23s,23.0,38.0,73.0,26.0,160.0
2025-06-03--11h-40m-23s,34.0,35.0,71.0,20.0,160.0
2025-06-03--11h-40m-23s,31.0,40.0,69.0,20.0,160.0
2025-06-03--11h-40m-23s,30.0,39.0,75.0,16.0,160.0
2025-06-03--11h-40m-23s,29.0,36.0,80.0,15.0,160.0
2025-06-03--11h-40m-23s,36.0,43.0,64.0,17.0,160.0
2025-06-03--11h-40m-23s,27.0,47.0,76.0,10.0,160.0
2025-06-03--11h-40m-23s,28.0,45.0,75.0,12.0,160.0
2025-06-03--11h-40m-23s,37.0,25.0,84.0,14.0,160.0
2025-06-03--11h-40m-23s,40.0,33.0,69.0,18.0,160.0
2025-06-03--11h-40m-23s,37.0,33.0,76.0,14.0,160.0
2025-06-03--11h-40m-23s,34.0,38.0,72.0,16.0,160.0
2025-06-03--11h-40m-23s,35.0,33.0,77.0,15.0,160.0
2025-06-03--11h-40m-23s,34.0,36.0,75.0,15.0,160.0
2025-06-03--11h-40m-23s,41.0,32.0,68.0,19.0,160.0
2025-06-03--11h-40m-23s,33.0,40.0,73.0,14.0,160.0
2025-06-03--11h-40m-23s,35.0,38.0,75.0,12.0,160.0
2025-06-03--11h-40m-23s,27.0,31.0,84.0,18.0,160.0
2025-06-03--11h-40m-23s,30.0,42.0,74.0,14.0,160.0
2025-06-03--11h-40m-23s,38.0,30.0,80.0,12.0,160.0
2025-06-03--11h-40m-23s,35.0,28.0,81.0,16.0,160.0
2025-06-03--11h-40m-23s,35.0,38.0,71.0,16.0,160.0
2025-06-03--11h-40m-23s,32.0,34.0,78.0,16.0,160.0
2025-06-03--11h-40m-23s,41.0,36.0,61.0,22.0,160.0
2025-06-03--11h-40m-23s,26.0,35.0,85.0,14.0,160.0
2025-06-03--11h-40m-23s,36.0,32.0,69.0,23.0,160.0
2025-06-03--11h-40m-23s,30.0,32.0,83.0,15.0,160.0
2025-06-03--11h-40m-23s,34.0,40.0,69.0,17.0,160.0
2025-06-03--11h-40m-23s,34.0,34.0,74.0,18.0,160.0
2025-06-03--11h-40m-23s,34.0,40.0,71.0,15.0,160.0
2025-06-03--11h-40m-23s,29.0,39.0,74.0,18.0,160.0
2025-06-03--11h-40m-23s,32.0,29.0,81.0,18.0,160.0
2025-06-03--11h-40m-23s,33.0,39.0,72.0,16.0,160.0
2025-06-03--11h-40m-23s,28.0,40.0,82.0,10.0,160.0
2025-06-03--11h-40m-23s,26.0,33.0,85.0,16.0,160.0
2025-06-03--11h-40m-23s,31.0,43.0,62.0,24.0,160.0
2025-06-03--11h-40m-23s,29.0,24.0,90.0,17.0,160.0
2025-06-03--11h-40m-23s,33.0,37.0,77.0,13.0,160.0
2025-06-03--11h-40m-23s,28.0,42.0,74.0,16.0,160.0
