data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate
2025-05-23--18h-27m-01s,1.5,17.0,23.0,38.5,80.0,1.6470122253008406,0.19205009651487656
2025-05-23--18h-27m-01s,0.5,17.0,31.0,31.5,80.0,1.7494094936123683,0.12348085493128932
2025-05-23--18h-27m-01s,3.5,18.0,22.0,36.5,80.0,1.6215795731084166,0.2960844217930903
2025-05-23--18h-27m-01s,1.5,18.0,32.0,28.5,80.0,1.7494094936123683,0.2222659806251162
2025-05-23--18h-27m-01s,2.5,16.0,26.0,35.5,80.0,1.6980429924657525,0.25569887389186
2025-05-23--18h-27m-01s,2.0,18.0,24.0,36.0,80.0,1.6470122253008406,0.2281500639200517
2025-05-23--18h-27m-01s,0.5,19.0,28.0,32.5,80.0,1.685259305751304,0.12158526566712025
2025-05-23--18h-27m-01s,3.0,17.0,29.0,31.0,80.0,1.7236754105760652,0.2973670565919592
2025-05-23--18h-27m-01s,1.5,12.0,32.0,34.5,80.0,1.8274105528289257,0.20259184530918437
2025-05-23--18h-27m-01s,0.0,12.0,32.0,36.0,80.0,1.8274105528289257,0.0
2025-05-23--18h-27m-01s,0.5,16.0,24.0,39.5,80.0,1.6724943807255575,0.11038311339106556
2025-05-23--18h-27m-01s,0.0,12.0,29.0,39.0,80.0,1.7882418850429336,0.0
2025-05-23--18h-27m-01s,0.5,19.0,31.0,29.5,80.0,1.7236754105760652,0.1275542022657153
2025-05-23--18h-27m-01s,2.0,16.0,24.0,38.0,80.0,1.6724943807255575,0.2222659806251162
2025-05-23--18h-27m-01s,1.5,14.0,29.0,35.5,80.0,1.7623204087099549,0.1997944478363337
2025-05-23--18h-27m-01s,1.5,16.0,28.0,34.5,80.0,1.7236754105760652,0.20259184530918437
2025-05-23--18h-27m-01s,1.5,18.0,23.0,37.5,80.0,1.6342907582654644,0.1945306253576709
2025-05-23--18h-27m-01s,4.0,9.0,26.0,41.0,80.0,1.7882418850429336,0.29850315299981156
2025-05-23--18h-27m-01s,2.5,13.0,24.0,40.5,80.0,1.710847622844456,0.24003401379744446
2025-05-23--18h-27m-01s,0.5,23.0,21.0,35.5,80.0,1.5454128903850783,0.11638281703913975
2025-05-23--18h-27m-01s,1.0,16.0,27.0,36.0,80.0,1.710847622844456,0.16273325031333866
2025-05-23--18h-27m-01s,1.0,17.0,28.0,34.0,80.0,1.710847622844456,0.1673647224480998
2025-05-23--18h-27m-01s,2.5,13.0,28.0,36.5,80.0,1.7623204087099549,0.2523205948675409
2025-05-23--18h-27m-01s,1.5,18.0,25.0,35.5,80.0,1.6597460635890153,0.1997944478363337
2025-05-23--18h-27m-01s,1.0,16.0,24.0,39.0,80.0,1.6724943807255575,0.15645478250875602
2025-05-23--18h-27m-01s,0.5,15.0,30.0,34.5,80.0,1.7623204087099549,0.11804207133728374
2025-05-23--18h-27m-01s,2.5,17.0,28.0,32.5,80.0,1.710847622844456,0.26671115215032587
2025-05-23--18h-27m-01s,0.5,13.0,26.0,40.5,80.0,1.7365286047356838,0.10902274878635952
2025-05-23--18h-27m-01s,2.0,12.0,26.0,40.0,80.0,1.7494094936123683,0.21681495800151976
2025-05-23--18h-27m-01s,0.0,13.0,32.0,35.0,80.0,1.8143127150785638,0.0
2025-05-23--18h-27m-01s,1.0,14.0,27.0,38.0,80.0,1.7365286047356838,0.15846617593887855
