data_dir,C',HH,SB,VV,N,theta_estimate,delta_phi_estimate,clipped_delta_phi_estimate
2025-06-18--18h-21m-51s,5.0,3.0,9.0,23.0,40.0,2.0943951023931957,0.6382506465387114,0.6382506465387114
2025-06-18--18h-21m-51s,7.0,1.0,12.0,20.0,40.0,2.065760358511791,0.650173023929723,0.650173023929723
2025-06-18--18h-21m-51s,8.0,2.0,8.0,22.0,40.0,2.0943951023931957,0.7853981633974483,0.7853981633974483
2025-06-18--18h-21m-51s,9.0,1.0,10.0,20.0,40.0,2.065760358511791,0.7586688964637969,0.7586688964637969
2025-06-18--18h-21m-51s,9.0,1.0,11.0,19.0,40.0,2.037561665842193,0.7345491364321179,0.7345491364321179
2025-06-18--18h-21m-51s,5.0,2.0,9.0,24.0,40.0,2.15316056466364,0.6382506465387114,0.6382506465387114
2025-06-18--18h-21m-51s,10.0,2.0,12.0,16.0,40.0,1.9283674304404068,0.7391856506574815,0.7391856506574815
2025-06-18--18h-21m-51s,9.0,2.0,8.0,21.0,40.0,2.065760358511791,0.815275600109404,0.815275600109404
2025-06-18--18h-21m-51s,6.0,2.0,13.0,19.0,40.0,2.009758212404657,0.5937220222075029,0.5937220222075029
2025-06-18--18h-21m-51s,7.0,4.0,5.0,24.0,40.0,2.0943951023931957,0.8704095214815346,0.8704095214815346
2025-06-18--18h-21m-51s,8.0,1.0,10.0,21.0,40.0,2.0943951023931957,0.7288762798605178,0.7288762798605178
2025-06-18--18h-21m-51s,7.0,3.0,6.0,24.0,40.0,2.12351143989168,0.8244852097901259,0.8244852097901259
2025-06-18--18h-21m-51s,6.0,4.0,8.0,22.0,40.0,2.037561665842193,0.71262518665751,0.71262518665751
2025-06-18--18h-21m-51s,10.0,1.0,7.0,22.0,40.0,2.12351143989168,0.8754634103970904,0.8754634103970904
2025-06-18--18h-21m-51s,6.0,1.0,9.0,24.0,40.0,2.183400474843519,0.6831644623239246,0.6831644623239246
2025-06-18--18h-21m-51s,6.0,4.0,5.0,25.0,40.0,2.12351143989168,0.8316106761374151,0.8316106761374151
2025-06-18--18h-21m-51s,9.0,2.0,11.0,18.0,40.0,1.9823131728623846,0.7345491364321179,0.7345491364321179
2025-06-18--18h-21m-51s,9.0,2.0,7.0,22.0,40.0,2.0943951023931957,0.8490214962328763,0.8490214962328763
2025-06-18--18h-21m-51s,6.0,2.0,7.0,25.0,40.0,2.183400474843519,0.7463111170047708,0.7463111170047708
2025-06-18--18h-21m-51s,9.0,2.0,6.0,23.0,40.0,2.12351143989168,0.8876318644709721,0.8876318644709721
2025-06-18--18h-21m-51s,9.0,2.0,7.0,22.0,40.0,2.0943951023931957,0.8490214962328763,0.8490214962328763
2025-06-18--18h-21m-51s,5.0,2.0,6.0,27.0,40.0,2.2459278597319283,0.7391856506574815,0.7391856506574815
2025-06-18--18h-21m-51s,6.0,4.0,13.0,17.0,40.0,1.9018080548841911,0.5937220222075029,0.5937220222075029
