detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
1,12,C,16,0,2025-05-23--16h-55m-26s-744415
1,11,C,16,0,2025-05-23--16h-55m-26s-744415
1,10,C,16,0,2025-05-23--16h-55m-26s-744415
1,4,DB_H,16,1,2025-05-23--16h-55m-26s-744415
1,7,SB,16,0,2025-05-23--16h-55m-26s-744415
1,2,SB,16,0,2025-05-23--16h-55m-26s-744415
4,9,C,16,0,2025-05-23--16h-55m-26s-744415
4,12,C,16,0,2025-05-23--16h-55m-26s-744415
4,11,C,16,0,2025-05-23--16h-55m-26s-744415
4,10,C,16,0,2025-05-23--16h-55m-26s-744415
4,7,SB,16,0,2025-05-23--16h-55m-26s-744415
7,9,C,16,0,2025-05-23--16h-55m-26s-744415
7,12,C,16,0,2025-05-23--16h-55m-26s-744415
7,11,C,16,0,2025-05-23--16h-55m-26s-744415
7,10,C,16,0,2025-05-23--16h-55m-26s-744415
2,9,C,16,0,2025-05-23--16h-55m-26s-744415
2,12,C,16,0,2025-05-23--16h-55m-26s-744415
2,11,C,16,0,2025-05-23--16h-55m-26s-744415
2,10,C,16,0,2025-05-23--16h-55m-26s-744415
2,4,SB,16,0,2025-05-23--16h-55m-26s-744415
2,7,DB_V,16,0,2025-05-23--16h-55m-26s-744415
9,12,DB_H,17,1,2025-05-23--16h-55m-26s-763674
9,11,SB,17,1,2025-05-23--16h-55m-26s-763674
9,10,SB,17,0,2025-05-23--16h-55m-26s-763674
11,12,SB,17,0,2025-05-23--16h-55m-26s-763674
10,12,SB,17,0,2025-05-23--16h-55m-26s-763674
10,11,DB_V,17,0,2025-05-23--16h-55m-26s-763674
1,9,C,17,0,2025-05-23--16h-55m-26s-763674
1,12,C,17,0,2025-05-23--16h-55m-26s-763674
1,11,C,17,0,2025-05-23--16h-55m-26s-763674
1,10,C,17,0,2025-05-23--16h-55m-26s-763674
1,4,DB_H,17,0,2025-05-23--16h-55m-26s-763674
1,7,SB,17,1,2025-05-23--16h-55m-26s-763674
1,2,SB,17,0,2025-05-23--16h-55m-26s-763674
4,9,C,17,0,2025-05-23--16h-55m-26s-763674
4,12,C,17,0,2025-05-23--16h-55m-26s-763674
4,11,C,17,0,2025-05-23--16h-55m-26s-763674
4,10,C,17,0,2025-05-23--16h-55m-26s-763674
4,7,SB,17,0,2025-05-23--16h-55m-26s-763674
7,9,C,17,0,2025-05-23--16h-55m-26s-763674
7,12,C,17,0,2025-05-23--16h-55m-26s-763674
7,11,C,17,0,2025-05-23--16h-55m-26s-763674
