delta_phi,theta,n,delta_phi_estimator_mean,delta_phi_estimator_variance
0.562345084992573,0.7853981633974483,40,0.5400906693481731,0.0387391687789585
0.5654866776461628,0.7853981633974483,40,0.5436543810507997,0.03860589024317984
0.5686282702997526,0.7853981633974483,40,0.5472134309837547,0.03847386975187217
0.5717698629533424,0.7853981633974483,40,0.5507678798394587,0.03834316148975814
0.5749114556069321,0.7853981633974483,40,0.5543177894443423,0.038213816998076744
0.578053048260522,0.7853981633974483,40,0.5578632226773537,0.03808588524221945
0.5811946409141118,0.7853981633974483,40,0.561404243391322,0.03795941267996705
0.5843362335677016,0.7853981633974483,40,0.5649409163371564,0.03783444333019481
0.5874778262212913,0.7853981633974483,40,0.5684733070908492,0.0377110188419279
0.5906194188748811,0.7853981633974483,40,0.5720014819832517,0.03758917856363014
0.5937610115284709,0.7853981633974483,40,0.5755255080325922,0.03746895961261104
0.5969026041820608,0.7853981633974483,40,0.5790454528796962,0.03735039694445097
0.6000441968356505,0.7853981633974483,40,0.5825613847258821,0.037233523422337045
0.6031857894892403,0.7853981633974483,40,0.5860733722734841,0.037118369886216196
0.6063273821428301,0.7853981633974483,40,0.5895814846689672,0.037004965221675346
0.6094689747964199,0.7853981633974483,40,0.5930857914485931,0.03689333642845827
0.6126105674500097,0.7853981633974483,40,0.5965863624865959,0.036783508688541355
0.6157521601035995,0.7853981633974483,40,0.6000832679458202,0.036675505433686695
0.6188937527571893,0.7853981633974483,40,0.6035765782307816,0.03656934841240367
0.6220353454107791,0.7853981633974483,40,0.6070663639430984,0.03646505775624698
0.6251769380643689,0.7853981633974483,40,0.6105526958392562,0.036362652045389576
0.6283185307179586,0.7853981633974483,40,0.6140356447906508,0.03626214837340702
0.6314601233715484,0.7853981633974483,40,0.6175152817458649,0.036163562411222205
0.6346017160251383,0.7853981633974483,40,0.6209916776951289,0.03606690847015248
0.6377433086787281,0.7853981633974483,40,0.6244649036369211,0.03597219956401371
0.6408849013323178,0.7853981633974483,40,0.6279350305466511,0.03587944747023658
