eta,theta,p_sb,p_c,p_db_h,p_db_v,delta
0.8150000000000001,1.0010285208833207,0.30068142632368117,0.03452693014586524,0.6101767595952535,0.05461488393519992,0.0
0.8150000000000001,1.0073242977442223,0.30325696002712965,0.03454482900113441,0.6062873016200137,0.055910909351721515,0.0
0.8150000000000001,1.0136200746051236,0.30581976708724007,0.03456263941168751,0.6023898044646441,0.05722778903642782,0.0
0.8150000000000001,1.019915851466025,0.30836939704548777,0.0345803582470308,0.5984845837379409,0.058565660969539676,0.0
0.8150000000000001,1.0262116283269263,0.31090540044212406,0.034597982383611864,0.5945719564218546,0.05992466075240903,0.0
0.8150000000000001,1.0325074051878278,0.3134273289148142,0.03461550870550448,0.5906522408278156,0.061304921551865135,0.0
0.8150000000000001,1.0388031820487291,0.3159347352979354,0.03463293410509923,0.5867257565521615,0.06270657404480336,0.0
0.8150000000000001,1.0450989589096304,0.3184271737225035,0.034650255483798,0.5827928244306558,0.06412974636304218,0.0
0.8150000000000001,1.051394735770532,0.3209041997166944,0.03466746975271191,0.578853766492121,0.06557456403847235,0.0
0.8150000000000001,1.0576905126314333,0.32336537030692974,0.0346845738333645,0.5749089059111823,0.06704114994852312,0.0
0.8150000000000001,1.0639862894923346,0.3258102441194908,0.03470156465839778,0.5709585669601398,0.06852962426197134,0.0
0.8150000000000001,1.070282066353236,0.32823838148262724,0.03471843917228124,0.5670030749599733,0.07004010438511815,0.0
0.8150000000000001,1.0765778432141375,0.3306493445291243,0.03473519433202579,0.563042756230491,0.0715727049083588,0.0
0.8150000000000001,1.0828736200750388,0.3330426972992929,0.03475182710789822,0.5590779380396373,0.07312753755317111,0.0
0.8150000000000001,1.0891693969359402,0.3354180058443453,0.03476833448414052,0.5551089485519646,0.07470471111954918,0.0
0.8150000000000001,1.0954651737968417,0.3377748383301179,0.03478471345969041,0.5511361167762847,0.07630433143390651,0.0
0.8150000000000001,1.101760950657743,0.3401127651411039,0.03480096104890416,0.5471597725125161,0.07792650129747554,0.0
0.8150000000000001,1.1080567275186444,0.3424313589847548,0.03481707428228169,0.5431802462977332,0.07957132043523006,0.0
0.8150000000000001,1.1143525043795457,0.3447301949960131,0.034833050207193156,0.5391978693514383,0.08123888544535489,0.0
0.8150000000000001,1.1206482812404472,0.34700885084203253,0.034848885888606136,0.5352129735200706,0.08292928974929067,0.0
0.8150000000000001,1.1269440581013486,0.3492669068270471,0.03486457840981499,0.5312258912207598,0.0846426235423778,0.0
0.8150000000000001,1.13323983496225,0.35150394599734625,0.03488012487317016,0.5272369553843549,0.08637897374512819,0.0
0.8150000000000001,1.1395356118231514,0.3537195542463122,0.034895522400808225,0.5232464993977309,0.08813842395514823,0.0
0.8150000000000001,1.1458313886840528,0.35591332041947793,0.03491076813538161,0.5192548570454,0.08992105439974024,0.0
0.8150000000000001,1.152127165544954,0.3580848364195616,0.034925859240789524,0.5152623624504398,0.09172694188920862,0.0
0.8150000000000001,1.1584229424058554,0.360233697311433,0.03494079290290607,0.5112693500147649,0.0935561597708958,0.0
0.8150000000000001,1.164718719266757,0.3623595014269666,0.034955566330310106,0.5072761543587491,0.09540877788397374,0.0
0.8150000000000001,1.1710144961276583,0.36446185046973756,0.03497017675501216,0.5032831102602333,0.09728486251501642,0.0
0.8150000000000001,1.1773102729885596,0.366540349619513,0.03498462143318093,0.4992905525929256,0.09918447635438019,0.0
0.8150000000000001,1.1836060498494612,0.368594607636494,0.03499889764586737,0.49529881626422384,0.10110767845341441,0.0
0.8150000000000001,1.1899018267103625,0.37062423696526053,0.035013002699727486,0.49130823615248137,0.10305452418253046,0.0
0.8150000000000001,1.1961976035712638,0.37262885383837335,0.035026933927742074,0.48731914704373247,0.10502506519015176,0.0
0.8150000000000001,1.2024933804321651,0.37460807837958526,0.03504068868993419,0.48333188356791024,0.10701934936256992,0.0
0.8150000000000001,1.2087891572930667,0.37656153470661413,0.03505426437408262,0.4793467801345701,0.10903742078473304,0.0
0.8150000000000001,1.215084934153968,0.3784888510334282,0.03506765839643433,0.47536417086815125,0.11107931970198599,0.0
0.8150000000000001,1.2213807110148693,0.38038965977200045,0.035080868202410034,0.47138438954279677,0.11314508248279238,0.0
0.8150000000000001,1.2276764878757709,0.3822635976334779,0.03509389126730766,0.4674077695167581,0.11523474158245596,0.0
0.8150000000000001,1.2339722647366722,0.38411030572872096,0.035106725097001586,0.4634346436664098,0.11734832550786768,0.0
0.8150000000000001,1.2402680415975735,0.3859294296681632,0.03511936722863635,0.4594653443198999,0.11948585878330036,0.0
0.8150000000000001,1.2465638184584749,0.38772061966094384,0.03513181523131549,0.4555002031904668,0.12164736191727382,0.0
0.8150000000000001,1.2528595953193764,0.3894835306132626,0.0351440667067846,0.451539551309442,0.1238328513705107,0.0
0.8150000000000001,1.2591553721802777,0.3912178222259089,0.035156119290110435,0.4475837189589746,0.1260423395250059,0.0
0.8150000000000001,1.265451149041179,0.39292315909091863,0.03516797065035128,0.4436330356044992,0.12827583465423067,0.0
0.8150000000000001,1.2717469259020806,0.39459921078730625,0.03517961849122284,0.4396878298269795,0.1305333408944911,0.0
0.8150000000000001,1.278042702762982,0.3962456519758262,0.03519106055175705,0.43574842925495605,0.1328148582174606,0.0
0.8150000000000001,1.2843384796238833,0.3978621624927149,0.03520229460695273,0.4318151604964238,0.1351203824039084,0.0
0.8150000000000001,1.2906342564847846,0.3994484274423651,0.03521331846842043,0.4278883490705749,0.1374499050186394,0.0
0.8150000000000001,1.2969300333456861,0.40100413728888284,0.035224129985018615,0.4239683193394316,0.13980341338666685,0.0
0.8150000000000001,1.3032258102065875,0.40252898794648234,0.03523472704348101,0.42005539443940293,0.1421808905706335,0.0
0.8150000000000001,1.3095215870674888,0.4040226808686687,0.03524510756903766,0.41614989621279264,0.14458231534950097,0.0
