delta_phi,E_nu_1.000,VarCRB_nu_1.000,E_nu_0.970,VarCRB_nu_0.970,E_nu_0.971,VarCRB_nu_0.971,E_nu_0.972,VarCRB_nu_0.972
0.725707902979242,-0.000793763831088312,1.04117873801023,-0.000848068036412908,1.04320248146793,-0.000846167597040481,1.04313153552437,-0.000844273656847028,1.04306084089255
0.728849495632832,-0.000751556669501774,1.04110720613789,-0.000802886539574721,1.04311553352651,-0.000801090241174918,1.04304513596784,-0.000799300082441889,1.04297498725014
0.731991088286422,-0.000709419825229984,1.04103971202219,-0.000757794518537191,1.04303353530877,-0.00075610168165452,1.04296365351726,-0.000754414627833655,1.04289401825115
0.735132680940012,-0.000667349232621461,1.04097622655937,-0.000712786755754258,1.04295644424177,-0.000711196741977838,1.04288704611474,-0.000709612157377526,1.04281789234849
0.738274273593601,-0.000625340853798617,1.04091672247607,-0.000667858076790151,1.04288422045497,-0.000666370288163853,1.0428152743691,-0.000664887577373818,1.04274657062725
0.741415866247191,-0.000583390676877626,1.04086117429913,-0.000623003347539397,1.04281682673127,-0.000621617226025606,1.04274830150937,-0.000620235833374339,1.04268001675904
0.744557458900781,-0.000541494714210833,1.04080955832586,-0.00057821747149156,1.04275422846165,-0.000576932498463023,1.04268609333953,-0.00057565190751907,1.04261819695781
0.747699051554371,-0.000499649000667235,1.04076185259959,-0.000533495387042726,1.04269639360335,-0.000532311082814818,1.04262861819752,-0.000531130815921044,1.04256107993975
0.750840644207961,-0.000457849591918635,1.04071803688287,-0.000488832064835409,1.04264329264044,-0.000487747988237364,1.04257584691678,-0.000486667606085289,1.04250863688551
0.75398223686155,-0.000416092562764758,1.0406780926373,-0.000444222505146308,1.04259489854842,-0.000443238253128864,1.04252775279223,-0.00044225735436354,1.04246084140605
0.75712382951514,-0.000374374005467915,1.04064200300257,-0.000399661735293377,1.04255118676032,-0.000398776942569845,1.04248431154599,-0.000397895163439466,1.04241766951103
0.76026542216873,-0.000332690028108096,1.04060975277736,-0.000355144807094199,1.04251213513873,-0.00035435914581361,1.04244550130031,-0.000353576159846547,1.04237909958098
0.76340701482232,-0.000291036752957385,1.04058132840445,-0.0003106667943229,1.04247772394694,-0.000309979973785346,1.04241130254946,-0.000309295491498496,1.04234511233934
0.76654860747591,-0.000249410314867138,1.04055671795516,-0.000266222790221149,1.04244793582609,-0.000265634556618544,1.04238169813779,-0.000265048325267858,1.04231569083211
0.769690200129499,-0.000207806859665149,1.04053591111654,-0.000221807905012694,1.04242275577477,-0.000221318041205731,1.04235667323824,-0.000220829844560289,1.04229082040576
0.772831792783089,-0.000166222542570038,1.04051889918109,-0.000177417263437896,1.04240217112859,-0.000177025588768642,1.04233621533506,-0.000176635246924128,1.04227048869093
0.775973385436679,-0.000124653526609064,1.04050567503673,-0.000133046002316672,1.04238617154809,-0.000132752372445144,1.04232031420768,-0.000132459741666424,1.04225468558671
0.779114978090269,-8.30959810490528e-05,1.04049623316008,-8.86892681103424e-05,1.04237474900317,-8.84935748942661e-05,1.04230896192025,-8.82985474882636e-05,1.04224340324973
